SEQUENCE_LENGTH,Accuracy,Precision,Recall,F1,AUC,Loss,TrainLoss,ValLoss,Epochs,ModelFile
5,0.5128205418586731,0.5128205128205128,1.0,0.6779661016949152,0.5080424274973148,0.692797064781189,0.6918367743492126,0.6928157806396484,12,models/PT1_1_TSLA_5DAYS_DeepLSTM1_INDICADORES1.keras
20,0.5119705200195312,0.5119705340699816,1.0,0.6772228989037758,0.5006108320890458,0.6928935647010803,0.6917300224304199,0.6928354501724243,12,models/PT1_1_TSLA_20DAYS_DeepLSTM1_INDICADORES1.keras
10,0.5064220428466797,0.509469696969697,0.96415770609319,0.6666666666666666,0.5089336243835395,0.6929270029067993,0.6913164854049683,0.692777693271637,19,models/PT1_1_TSLA_10DAYS_DeepLSTM1_INDICADORES1.keras
15,0.5183823704719543,0.5185185185185185,0.8530465949820788,0.6449864498644986,0.504754175965375,0.6927306056022644,0.6914657354354858,0.6928991079330444,15,models/PT1_1_TSLA_15DAYS_DeepLSTM1_INDICADORES1.keras
