SEQUENCE_LENGTH,Accuracy,Precision,Recall,F1,AUC,Loss,TrainLoss,ValLoss,Epochs,ModelFile
15,0.5127272605895996,0.5127272727272727,1.0,0.6778846153846154,0.47845215412300196,0.6930318474769592,0.6917048096656799,0.6932646036148071,11,models/PT1_1_TSLA_15DAYS_CNNLSTM1.keras
20,0.5118396878242493,0.51183970856102,1.0,0.6771084337349398,0.4795174483454613,0.6932968497276306,0.6920015811920166,0.6935485601425171,11,models/PT1_1_TSLA_20DAYS_CNNLSTM1.keras
10,0.5117967128753662,0.5117967332123412,1.0,0.6770708283313326,0.47884863824514223,0.6930703520774841,0.6920761466026306,0.6931252479553223,11,models/PT1_1_TSLA_10DAYS_CNNLSTM1.keras
5,0.510869562625885,0.5108695652173914,1.0,0.6762589928057554,0.47299054373522453,0.6930199265480042,0.6917182207107544,0.6929627656936646,11,models/PT1_1_TSLA_5DAYS_CNNLSTM1.keras
