SEQUENCE_LENGTH,Accuracy,Precision,Recall,F1,AUC,Loss,TrainLoss,ValLoss,Epochs,ModelFile
15,0.5127272605895996,0.5127272727272727,1.0,0.6778846153846154,0.48017227691330583,0.6934085488319397,0.6922051906585693,0.6938572525978088,11,models/PT1_1_TSLA_15DAYS_DeepLSTM1.keras
20,0.5118396878242493,0.51183970856102,1.0,0.6771084337349398,0.477904073936368,0.693662703037262,0.6915224194526672,0.6937398314476013,11,models/PT1_1_TSLA_20DAYS_DeepLSTM1.keras
10,0.5117967128753662,0.5117967332123412,1.0,0.6770708283313326,0.5140657544359197,0.6930249929428101,0.6921141743659973,0.6929917335510254,11,models/PT1_1_TSLA_10DAYS_DeepLSTM1.keras
5,0.510869562625885,0.5108695652173914,1.0,0.6762589928057554,0.47976096664039924,0.6929956078529358,0.6919849514961243,0.692976176738739,12,models/PT1_1_TSLA_5DAYS_DeepLSTM1.keras
