SEQUENCE_LENGTH,Accuracy,Precision,Recall,F1,AUC,Loss,TrainLoss,ValLoss,Epochs,ModelFile
15,0.5127272605895996,0.5127272727272727,1.0,0.6778846153846154,0.4800928866306764,0.6930112242698669,0.6920280456542969,0.6931920051574707,11,models/PT1_1_TSLA_15DAYS_CNNLSTM1.keras
20,0.5118396878242493,0.51183970856102,1.0,0.6771084337349398,0.479583842354066,0.6939512491226196,0.6920315623283386,0.6940811276435852,11,models/PT1_1_TSLA_20DAYS_CNNLSTM1.keras
10,0.5117967128753662,0.5117967332123412,1.0,0.6770708283313326,0.47855862268976246,0.6930968165397644,0.6918171048164368,0.6931690573692322,11,models/PT1_1_TSLA_10DAYS_CNNLSTM1.keras
5,0.510869562625885,0.5108695652173914,1.0,0.6762589928057554,0.47542027843446283,0.693040668964386,0.6919731497764587,0.6929972171783447,11,models/PT1_1_TSLA_5DAYS_CNNLSTM1.keras
