SEQUENCE_LENGTH,Accuracy,Precision,Recall,F1,AUC,Loss,TrainLoss,ValLoss,Epochs,ModelFile
15,0.5127272605895996,0.5127272727272727,1.0,0.6778846153846154,0.4793320630888112,0.6931204199790955,0.691577136516571,0.6937074661254883,11,models/PT1_1_TSLA_15DAYS_LSTM.keras
10,0.5117967128753662,0.5117967332123412,1.0,0.6770708283313326,0.47932320915394555,0.6930996775627136,0.6920559406280518,0.6932798624038696,11,models/PT1_1_TSLA_10DAYS_LSTM.keras
5,0.510869562625885,0.5108695652173914,1.0,0.6762589928057554,0.480575256107171,0.6930456161499023,0.6917916536331177,0.6930928826332092,11,models/PT1_1_TSLA_5DAYS_LSTM.keras
20,0.5154827237129211,0.5321888412017167,0.4412811387900356,0.48249027237354086,0.515390131194561,0.6930704116821289,0.6919571757316589,0.6929602026939392,11,models/PT1_1_TSLA_20DAYS_LSTM.keras
