SEQUENCE_LENGTH,Accuracy,Precision,Recall,F1,AUC,Loss,TrainLoss,ValLoss,Epochs,ModelFile
15,0.5127272605895996,0.5127272727272727,1.0,0.6778846153846154,0.4796496242193289,0.6947226524353027,0.6913908123970032,0.6951980590820312,11,models/PT1_1_TSLA_15DAYS_LSTM1.keras
20,0.5118396878242493,0.51183970856102,1.0,0.6771084337349398,0.476722260583205,0.6931080222129822,0.6919885873794556,0.6933321952819824,11,models/PT1_1_TSLA_20DAYS_LSTM1.keras
10,0.5117967128753662,0.5117967332123412,1.0,0.6770708283313326,0.4773128740541538,0.6930408477783203,0.6917730569839478,0.6931135058403015,11,models/PT1_1_TSLA_10DAYS_LSTM1.keras
5,0.510869562625885,0.5108695652173914,1.0,0.6762589928057554,0.48114000525348044,0.6930285692214966,0.6916475296020508,0.692939043045044,11,models/PT1_1_TSLA_5DAYS_LSTM1.keras
