SEQUENCE_LENGTH,Accuracy,Precision,Recall,F1,AUC,Loss,TrainLoss,ValLoss,Epochs,ModelFile
5,0.5128205418586731,0.5128205128205128,1.0,0.6779661016949152,0.49097744360902257,0.6929726600646973,0.6916500329971313,0.693072497844696,11,models/PT1_1_TSLA_5DAYS_DeepLSTM1_INDICADORES1.keras
10,0.5119265913963318,0.5119266055045871,1.0,0.6771844660194175,0.49039938556067586,0.6931629180908203,0.6918265223503113,0.6929911971092224,11,models/PT1_1_TSLA_10DAYS_DeepLSTM1_INDICADORES1.keras
15,0.5238970518112183,0.5224215246636771,0.8351254480286738,0.6427586206896552,0.5051599377831879,0.6925597786903381,0.6915110349655151,0.6930292248725891,22,models/PT1_1_TSLA_15DAYS_DeepLSTM1_INDICADORES1.keras
20,0.4806629717350006,0.49029126213592233,0.36330935251798563,0.41735537190082644,0.5082530202253291,0.6951531171798706,0.6897919178009033,0.6917078495025635,28,models/PT1_1_TSLA_20DAYS_DeepLSTM1_INDICADORES1.keras
